#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
145;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;46 ;"F";1;;COM1;;
146;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
147;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
148;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
149;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;75 ;"u";1;;COM1;;
150;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
151;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;6e ;"n";1;;COM1;;
152;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
153;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;64 ;"d";1;;COM1;;
154;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
155;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
156;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
157;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
158;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
159;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
160;22/06/2019 07:29:15;IRP_MJ_WRITE;DOWN;;69 64 36 0d ;"id6.";4;4;COM1;;
161;22/06/2019 07:29:15;IRP_MJ_WRITE;UP;STATUS_SUCCESS;69 64 36 0d ;"id6.";4;;COM1;;
162;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
163;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;69 ;"i";1;;COM1;;
164;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
165;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;64 ;"d";1;;COM1;;
166;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
167;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;36 ;"6";1;;COM1;;
168;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
169;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;34 ;"4";1;;COM1;;
170;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
171;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;33 ;"3";1;;COM1;;
172;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
173;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;37 ;"7";1;;COM1;;
174;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
175;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
176;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
177;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;36 ;"6";1;;COM1;;
178;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
179;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;46 ;"F";1;;COM1;;
180;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
181;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;37 ;"7";1;;COM1;;
182;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
183;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;39 ;"9";1;;COM1;;
184;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
185;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
186;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
187;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
188;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
189;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
190;22/06/2019 07:29:15;IRP_MJ_WRITE;DOWN;;69 64 35 0d ;"id5.";4;4;COM1;;
191;22/06/2019 07:29:15;IRP_MJ_WRITE;UP;STATUS_SUCCESS;69 64 35 0d ;"id5.";4;;COM1;;
192;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
193;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;69 ;"i";1;;COM1;;
194;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
195;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;64 ;"d";1;;COM1;;
196;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
197;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;35 ;"5";1;;COM1;;
198;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
199;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;34 ;"4";1;;COM1;;
200;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
201;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;33 ;"3";1;;COM1;;
202;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
203;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;37 ;"7";1;;COM1;;
204;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
205;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
206;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
207;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;36 ;"6";1;;COM1;;
208;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
209;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;46 ;"F";1;;COM1;;
